Reported Date,Total Number of Dead and Missing,Coordinates
"July 1, 2015",1,"26.239989, 12.913084"
"July 1, 2015",1,"26.239989, 12.913096"
"July 31, 2015",1,"22.084283, 12.726881"
"July 1, 2015",2,"26.239989, 12.913084"
"July 1, 2015",3,"26.239989, 12.913084"
"July 1, 2015",1,"19.078732, 26.165733"
"July 1, 2015",3,"17.607789, 8.081666"
"July 1, 2015",1,"26.239989, 12.913094"
"July 1, 2015",2,"26.239989, 12.913084"
"August 31, 2015",1,"8.510109, -77.27898"
"August 1, 2015",1,"31.899057, -110.250004"
"August 2, 2015",4,"35.9272, -5.32547"
"August 3, 2015",5,"34.9814784, 23.490954"
"August 3, 2015",1,"36.834047, -2.463714"
"August 3, 2015",1,"30.39808, -111.534296"
"August 4, 2015",1,"20.373733, -99.646352"
"August 4, 2015",1,"22.443927, -101.074437"
"August 4, 2015",1,"31.99746, -111.82281"
"August 5, 2015",1,"32.23965, -111.45786"
"August 5, 2015",1,"13.599487, 35.630127"
"August 6, 2015",227,"34.289, 12.7661"
"August 7, 2015",1,"26.2364105, -98.672701"
"August 8, 2015",10,"39.315282, 26.690483"
"August 8, 2015",1,"32.0634, -112.5644"
"August 10, 2015",1,"15.716666, -96.483329"
"August 10, 2015",1,"28.6779788, -100.521305"
"August 10, 2015",1,"36.2247404, 36.417171"
"August 10, 2015",1,"32.6004, -111.738267"
"August 11, 2015",1,"31.5692, -111.774733"
"August 11, 2015",60,"37.8998228, 15.444212"
"August 11, 2015",1,"21.003405, -101.514199"
"August 13, 2015",1,"32.106083, -111.5684"
"August 14, 2015",1,"32.924722, -111.907778"
"August 14, 2015",1,"20.3372222, -98.394444"
"August 15, 2015",1,"27.469219, -99.549636"
"August 15, 2015",49,"36.941323, 27.343616"
"August 15, 2015",2,"30.753479, 33.122681"
"August 16, 2015",1,"33.2548, 11.4066"
"August 16, 2015",1,"32.13628, -113.21833"
"August 17, 2015",1,"32.30612, -111.40797"
"August 17, 2015",1,"36.89333, 27.288888"
"August 17, 2015",1,"30.7108565, -103.237231"
"August 17, 2015",1,"26.1471614, -98.366997"
"August 17, 2015",9,"36.10688204, 33.990881"
"August 18, 2015",6,"36.9211826, 29.191935"
"August 18, 2015",19,"18.082037, -97.920056"
